Income_Category,Card_Category,Education_Level,Customer_Age,Dependent_count,Attrition,Credit_Limit,CLIENT_ID,Gender,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Marital_Status,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_1,Naive_Bayes_Classifier_Attrition_Flag_Card_Category_Contacts_Count_12_mon_Dependent_count_Education_Level_Months_Inactive_12_mon_2
$120K +,Blue,Uneducated,42,5,Existing Customer,6748,708790833,M,31,5,3,2,Unknown,1467,5281,0.831,1201,42,0.68,0.217,0.00019094,0.99981
$40K - $60K,Blue,Unknown,65,1,Existing Customer,9095,710821833,M,54,6,2,3,Married,1587,7508,1.433,1314,26,1.364,0.174,0.00019751,0.9998
$80K - $120K,Blue,College,56,1,Existing Customer,11751,710599683,M,36,3,6,0,Single,0,11751,3.397,1539,17,3.25,0,4.78E-05,0.99995
$60K - $80K,Blue,Graduate,35,3,Existing Customer,8547,816082233,M,30,5,1,3,Unknown,1666,6881,1.163,1311,33,2,0.195,9.61E-05,0.9999
Less than $40K,Blue,Graduate,57,2,Existing Customer,2436,712396908,F,48,5,2,2,Married,680,1756,1.19,1570,29,0.611,0.279,0.00011382,0.99989
$80K - $120K,Blue,Unknown,44,4,Existing Customer,4234,714885258,M,37,5,1,2,Unknown,972,3262,1.707,1348,27,1.7,0.23,6.35E-05,0.99994
$80K - $120K,Blue,Post-Graduate,48,4,Existing Customer,30367,709967358,M,36,6,2,3,Single,2362,28005,1.708,1671,27,0.929,0.078,0.00023623,0.99976
$80K - $120K,Blue,Unknown,41,3,Existing Customer,13535,753327333,M,34,4,4,1,Married,1291,12244,0.653,1028,21,1.625,0.095,0.00014953,0.99985
$40K - $60K,Blue,High School,61,1,Existing Customer,3193,806160108,M,56,2,2,3,Married,2517,676,1.831,1336,30,1.143,0.788,0.00017468,0.99983
Unknown,Blue,Graduate,45,2,Existing Customer,14470,709327383,F,37,6,1,2,Married,1157,13313,0.966,1207,21,0.909,0.08,5.51E-05,0.99994
$60K - $80K,Blue,Doctorate,47,1,Existing Customer,20979,806165208,M,42,5,2,0,Divorced,1800,19179,0.906,1178,27,0.929,0.086,5.70E-05,0.99994
Less than $40K,Blue,Graduate,62,0,Attrited Customer,1438.3,708508758,F,49,2,3,3,Married,0,1438.3,1.047,692,16,0.6,0,0.99616,0.0038363
$40K - $60K,Blue,High School,41,3,Existing Customer,4470,784725333,M,33,4,2,1,Married,680,3790,1.608,931,18,1.571,0.152,6.92E-05,0.99993
Less than $40K,Blue,Unknown,47,4,Existing Customer,2492,811604133,F,36,3,3,2,Single,1560,932,0.573,1126,23,0.353,0.626,0.00020735,0.99979
$80K - $120K,Blue,Unknown,54,2,Existing Customer,12217,789124683,M,42,4,2,3,Married,0,12217,1.075,1110,21,0.75,0,0.00021042,0.99979
Less than $40K,Blue,Graduate,41,3,Existing Customer,7768,771071958,F,28,6,1,2,Single,1669,6099,0.797,1051,22,0.833,0.215,5.72E-05,0.99994
$40K - $60K,Blue,High School,59,1,Existing Customer,14784,720466383,M,46,4,1,2,Unknown,1374,13410,0.921,1197,23,1.3,0.093,5.03E-05,0.99995
$60K - $80K,Blue,Unknown,63,1,Existing Customer,10215,804424383,M,56,3,3,2,Married,1010,9205,0.843,1904,40,1,0.099,0.00018558,0.99981
Unknown,Blue,Uneducated,44,3,Existing Customer,10100,718813833,F,34,5,2,2,Single,0,10100,0.525,1052,18,1.571,0,0.00012144,0.99988
$40K - $60K,Blue,High School,47,4,Existing Customer,4785,806624208,M,42,6,0,0,Married,1362,3423,0.739,1045,38,0.9,0.285,7.66E-06,0.99999
$80K - $120K,Blue,Unknown,53,3,Existing Customer,2753,778348233,M,33,3,2,3,Married,1811,942,0.977,1038,25,2.571,0.658,0.00021834,0.99978
$60K - $80K,Blue,Uneducated,53,2,Existing Customer,2451,712991808,M,48,2,5,1,Married,1690,761,1.323,1596,26,1.6,0.69,0.00012458,0.99988
$60K - $80K,Blue,Graduate,41,4,Existing Customer,8923,709029408,M,36,4,1,2,Married,2517,6406,1.726,1589,24,1.667,0.282,5.78E-05,0.99994
Less than $40K,Blue,College,53,2,Existing Customer,2650,788658483,F,38,5,2,3,Married,1490,1160,1.75,1411,28,1,0.562,0.00018612,0.99981
$80K - $120K,Blue,Graduate,58,0,Existing Customer,12555,787937058,M,49,6,2,2,Married,1696,10859,0.519,1291,24,0.714,0.135,9.77E-05,0.9999
Less than $40K,Blue,College,55,1,Existing Customer,3520,715318008,F,36,4,2,1,Single,1914,1606,0.51,1407,43,0.483,0.544,6.26E-05,0.99994
Less than $40K,Blue,Graduate,55,3,Existing Customer,3035,713962233,F,36,6,2,3,Married,2298,737,1.724,1877,37,1.176,0.757,0.00019864,0.9998
Less than $40K,Gold,High School,42,4,Existing Customer,15433,785432733,F,36,2,3,3,Married,0,15433,0.865,966,22,1.2,0,0.00035532,0.99964
$40K - $60K,Blue,Graduate,57,1,Existing Customer,3672,715190283,F,49,3,3,2,Unknown,886,2786,1.32,1464,28,0.556,0.241,0.00016883,0.99983
Unknown,Blue,Doctorate,66,0,Attrited Customer,7882,708300483,F,56,5,4,3,Married,605,7277,1.052,704,16,0.143,0.077,0.9978,0.00219708
$80K - $120K,Blue,Graduate,45,3,Existing Customer,32426,827111283,M,41,2,2,2,Single,578,31848,1.042,1109,28,0.474,0.018,0.00011811,0.99988
$40K - $60K,Blue,Unknown,51,2,Existing Customer,6205,758551608,M,44,4,1,0,Married,2204,4001,0.803,1347,28,0.556,0.355,2.23E-05,0.99998
$40K - $60K,Silver,College,50,1,Existing Customer,17304,773146383,F,43,3,2,3,Single,2517,14787,1.449,1756,33,1.2,0.145,0.00015785,0.99984
$60K - $80K,Blue,High School,49,3,Existing Customer,3906,778493808,M,37,5,2,1,Married,0,3906,1.214,1756,32,1,0,6.92E-05,0.99993
Unknown,Blue,Graduate,38,4,Existing Customer,9830,720572508,F,28,2,3,3,Single,2055,7775,0.977,1042,23,0.917,0.209,0.00031726,0.99968
$80K - $120K,Blue,Uneducated,49,4,Existing Customer,34516,712661433,M,30,3,2,3,Single,0,34516,1.621,1444,28,1.333,0,0.00020643,0.99979
$60K - $80K,Blue,Doctorate,56,2,Existing Customer,2283,789172683,M,45,6,2,0,Married,1430,853,2.316,1741,27,0.588,0.626,6.08E-05,0.99994
$40K - $60K,Blue,Doctorate,59,1,Existing Customer,2548,738406533,M,52,3,2,2,Married,2020,528,2.357,1719,27,1.7,0.793,0.0001546,0.99985
$80K - $120K,Blue,High School,46,3,Existing Customer,19458,799723908,M,40,4,3,3,Married,1435,18023,0.787,1217,27,0.8,0.074,0.00030516,0.99969
$80K - $120K,Blue,College,52,1,Existing Customer,4745,771490833,M,40,5,1,1,Single,1227,3518,0.624,1140,40,0.6,0.259,3.03E-05,0.99997
Less than $40K,Blue,Unknown,52,3,Existing Customer,2622,720756708,F,41,6,3,2,Married,1549,1073,1.321,1878,30,1.143,0.591,0.00020516,0.99979
Less than $40K,Blue,Graduate,54,1,Attrited Customer,1438.3,779471883,F,40,2,3,1,Married,808,630.3,0.997,705,19,0.9,0.562,0.99028,0.00972
Less than $40K,Blue,High School,66,0,Existing Customer,3171,711525033,F,54,3,4,2,Married,2179,992,1.224,1946,38,1.923,0.687,0.00018134,0.99982
$120K +,Blue,Unknown,49,2,Existing Customer,19763,712813458,M,36,4,2,0,Married,2517,17246,0.664,1414,35,0.25,0.127,4.62E-05,0.99995
$120K +,Blue,Graduate,56,2,Attrited Customer,15769,714374133,M,36,1,3,3,Married,0,15769,1.041,602,15,0.364,0,0.99671,0.00329379
Less than $40K,Blue,Graduate,49,4,Existing Customer,3298,717891558,F,36,6,4,2,Unknown,2200,1098,0.678,1052,32,0.6,0.667,0.00022797,0.99977
Less than $40K,Blue,Graduate,49,3,Existing Customer,2802,716632758,F,36,2,2,0,Single,2363,439,0.75,1295,40,0.6,0.843,4.36E-05,0.99996
$40K - $60K,Blue,Uneducated,56,2,Existing Customer,4458,768563658,M,50,4,2,3,Married,1880,2578,1.107,1424,29,1.417,0.422,0.00019683,0.9998
Unknown,Blue,Graduate,44,5,Existing Customer,6273,711427458,F,35,4,1,2,Married,978,5295,2.275,1359,25,1.083,0.156,5.69E-05,0.99994
$60K - $80K,Blue,High School,42,2,Existing Customer,3336,714091983,M,34,4,4,3,Single,1753,1583,0.69,1168,27,1.25,0.525,0.00035539,0.99964
$80K - $120K,Blue,Unknown,55,3,Existing Customer,3436,787584108,M,47,4,2,3,Married,2016,1420,0.901,1097,33,0.833,0.587,0.00021834,0.99978
$60K - $80K,Silver,Graduate,48,2,Attrited Customer,34516,712030833,M,35,2,4,4,Married,0,34516,0.763,691,15,0.5,0,0.99823,0.00177065
$60K - $80K,Blue,High School,39,1,Existing Customer,5926,711481533,M,33,5,3,3,Divorced,1251,4675,0.944,1316,28,1.154,0.211,0.00027604,0.99972
$120K +,Blue,Post-Graduate,44,4,Existing Customer,23957,710082708,M,32,2,4,2,Single,2102,21855,0.997,1276,26,0.733,0.088,0.00026824,0.99973
$120K +,Blue,High School,53,2,Existing Customer,14734,708155733,M,44,4,2,2,Single,1634,13100,0.989,1289,23,0.917,0.111,0.00011065,0.99989
$80K - $120K,Silver,Uneducated,51,4,Existing Customer,34516,788979258,M,38,4,1,4,Single,1515,33001,0.592,1293,32,0.6,0.044,0.00015398,0.99985
$60K - $80K,Blue,College,57,2,Existing Customer,6584,807986133,M,52,5,3,3,Married,1817,4767,0.62,1353,35,0.667,0.276,0.00029411,0.99971
Less than $40K,Blue,Uneducated,44,2,Existing Customer,2084,788730933,F,20,6,3,3,Single,1468,616,1.004,1132,28,0.556,0.704,0.00031104,0.99969
$60K - $80K,Blue,Graduate,49,2,Existing Customer,1687,711314058,M,32,2,2,2,Married,1107,580,1.715,1670,17,2.4,0.656,0.00011382,0.99989
$80K - $120K,Blue,Doctorate,50,2,Existing Customer,25300,717975333,M,38,6,2,2,Married,1330,23970,1.072,837,15,2,0.053,0.00016471,0.99984
$120K +,Blue,Graduate,51,4,Existing Customer,34516,715971108,M,42,3,2,3,Single,1763,32753,1.266,1550,41,1.05,0.051,0.00020077,0.9998
Less than $40K,Blue,Graduate,55,2,Existing Customer,2216,720096558,F,42,5,3,3,Married,1034,1182,0.758,1540,36,0.286,0.467,0.00030251,0.9997
$60K - $80K,Blue,Graduate,54,1,Existing Customer,2910,719580033,M,43,4,2,3,Unknown,2030,880,0.769,1256,21,0.4,0.698,0.00017969,0.99982
$80K - $120K,Blue,Uneducated,42,5,Existing Customer,22913,820582308,M,37,6,2,2,Married,1528,21385,0.414,1394,35,0.522,0.067,0.00012082,0.99988
$60K - $80K,Blue,College,44,1,Existing Customer,24312,789973308,M,35,3,3,3,Single,1932,22380,1.312,1341,24,1.182,0.079,0.00027607,0.99972
$80K - $120K,Blue,Graduate,53,2,Existing Customer,5272,712876233,M,36,5,3,2,Single,1515,3757,0.857,1289,33,0.435,0.287,0.00017987,0.99982
Less than $40K,Blue,Graduate,44,4,Existing Customer,7000,804595158,F,36,6,4,2,Single,2517,4483,0.475,1112,23,1.875,0.36,0.00022797,0.99977
Less than $40K,Blue,Uneducated,37,3,Existing Customer,7038,714826758,F,29,4,4,2,Single,1801,5237,0.751,2339,57,0.966,0.256,0.00023192,0.99977
$60K - $80K,Blue,Graduate,49,3,Existing Customer,2536,779058108,M,30,6,1,2,Divorced,1823,713,0.703,1468,23,0.353,0.719,5.72E-05,0.99994
$80K - $120K,Blue,Graduate,47,2,Existing Customer,28904,710790258,M,38,6,3,2,Married,1899,27005,0.85,1334,35,0.4,0.066,0.00017987,0.99982
$60K - $80K,Blue,Graduate,47,3,Existing Customer,8567,715623483,M,37,4,4,0,Married,1695,6872,1.242,1457,41,1.412,0.198,8.32E-05,0.99992
$120K +,Blue,Unknown,44,1,Existing Customer,34516,715156383,M,36,6,2,2,Unknown,1533,32983,0.924,1603,29,0.526,0.044,0.00011743,0.99988
$40K - $60K,Blue,Unknown,55,4,Attrited Customer,2158,711013983,F,45,2,4,3,Married,0,2158,0.585,615,12,0.714,0,0.99763,0.00236635
Unknown,Blue,Graduate,59,1,Existing Customer,10133,755420433,F,52,2,3,3,Married,1417,8716,0.383,1068,20,0.818,0.14,0.00028395,0.99972
$80K - $120K,Blue,Graduate,53,1,Existing Customer,34516,794543958,M,35,5,4,2,Divorced,1219,33297,1.129,1590,27,2,0.035,0.00020404,0.9998
$60K - $80K,Blue,Graduate,52,2,Existing Customer,3085,716396358,M,47,5,3,0,Married,1910,1175,0.921,1531,35,0.667,0.619,6.64E-05,0.99993
$120K +,Blue,High School,53,2,Existing Customer,19040,715398033,M,35,4,2,1,Single,2056,16984,0.607,1212,31,0.722,0.108,6.67E-05,0.99993
Less than $40K,Blue,Uneducated,43,3,Existing Customer,4026,711743883,F,35,5,2,3,Single,0,4026,0.483,1237,32,0.6,0,0.00020424,0.9998
$60K - $80K,Blue,High School,44,3,Existing Customer,12756,719720058,M,31,4,3,1,Single,837,11919,1.932,1413,14,1.8,0.066,0.00010943,0.99989
$120K +,Blue,Unknown,57,2,Existing Customer,5266,778992108,M,45,5,3,3,Married,0,5266,1.702,1516,29,1.636,0,0.00033251,0.99967
Less than $40K,Blue,High School,51,2,Existing Customer,9930,717539808,F,36,3,2,2,Single,0,9930,0.731,1276,21,1.333,0,0.00011065,0.99989
$80K - $120K,Blue,High School,49,4,Existing Customer,31302,714070758,M,38,4,3,0,Single,1953,29349,0.875,1564,35,2.182,0.062,6.77E-05,0.99993
$40K - $60K,Blue,Graduate,45,1,Existing Customer,6576,714107958,M,36,4,4,3,Single,0,6576,0.579,1465,34,0.619,0,0.00034315,0.99966
$80K - $120K,Blue,Graduate,53,0,Existing Customer,2664,789140283,M,42,5,4,1,Single,2037,627,0.85,1286,29,0.933,0.765,0.0001125,0.99989
Unknown,Blue,Unknown,45,3,Existing Customer,2535,715550508,F,28,5,1,2,Married,2440,95,1.705,1312,20,1.222,0.963,6.28E-05,0.99994
Less than $40K,Blue,Graduate,64,1,Existing Customer,1709,719712633,M,52,6,4,3,Married,895,814,1.656,1673,32,0.882,0.524,0.00034315,0.99966
$40K - $60K,Blue,Graduate,45,3,Existing Customer,3454,772629333,M,35,5,4,2,Married,1200,2254,0.597,1313,30,0.304,0.347,0.00022556,0.99977
$40K - $60K,Blue,Doctorate,53,3,Existing Customer,3789,720336708,M,35,5,3,2,Married,1706,2083,1.047,1609,42,0.68,0.45,0.00027008,0.99973
$120K +,Blue,College,56,3,Existing Customer,9689,802013583,M,50,3,2,0,Married,2250,7439,0.576,1158,19,0.727,0.232,4.24E-05,0.99996
$80K - $120K,Blue,Unknown,47,2,Attrited Customer,5449,711887583,M,37,2,3,3,Married,1628,3821,0.696,836,18,0.385,0.299,0.997,0.00299743
Unknown,Blue,College,49,3,Existing Customer,23032,714778833,F,43,4,4,0,Single,1960,21072,0.619,1289,22,1,0.085,8.09E-05,0.99992
Unknown,Silver,Unknown,41,3,Existing Customer,34516,713843283,F,34,5,3,3,Married,2053,32463,1.034,1487,26,0.733,0.059,0.00031177,0.99969
$120K +,Blue,Graduate,53,3,Existing Customer,2940,779155158,M,34,6,2,2,Married,1264,1676,0.562,1259,33,0.5,0.43,0.00011811,0.99988
Less than $40K,Blue,Graduate,44,2,Existing Customer,3031,721091583,F,32,3,3,3,Single,1879,1152,0.788,1298,15,1.5,0.62,0.00030251,0.9997
$60K - $80K,Blue,High School,44,3,Existing Customer,1862,713572683,M,25,3,3,0,Unknown,0,1862,0.883,1226,34,0.789,0,6.69E-05,0.99993
Less than $40K,Blue,Post-Graduate,43,4,Existing Customer,8358,716657058,F,33,2,3,3,Married,926,7432,0.762,1566,37,0.542,0.111,0.00037329,0.99963
$120K +,Blue,Post-Graduate,53,2,Existing Customer,34516,779509983,M,36,6,1,2,Single,931,33585,0.828,1022,21,1.1,0.027,6.48E-05,0.99994
$60K - $80K,Blue,Uneducated,44,1,Existing Customer,14450,717929133,M,36,5,2,3,Married,2440,12010,1.283,1235,30,0.667,0.169,0.00018475,0.99982
Less than $40K,Blue,Unknown,62,1,Existing Customer,1438.3,808284783,F,56,6,0,0,Married,0,1438.3,0.813,1951,44,1.095,0,7.76E-06,0.99999
$120K +,Blue,Unknown,54,4,Existing Customer,33791,708476808,M,36,6,3,2,Divorced,1960,31831,0.618,1047,31,0.824,0.058,0.00020735,0.99979
$60K - $80K,Blue,Graduate,57,4,Existing Customer,8466,710916408,M,39,4,3,0,Married,1886,6580,0.56,1342,32,0.391,0.223,6.96E-05,0.99993
$60K - $80K,Blue,Unknown,42,3,Existing Customer,15088,708492558,M,36,5,3,3,Married,865,14223,0.939,1107,21,1.625,0.057,0.00034503,0.99965
$60K - $80K,Blue,High School,42,4,Existing Customer,3263,799825758,M,36,5,1,2,Divorced,1674,1589,0.588,1251,35,0.346,0.513,5.62E-05,0.99994
Less than $40K,Blue,Uneducated,54,0,Existing Customer,1494,718619883,F,36,2,2,2,Married,706,788,1.674,1305,24,3,0.473,0.00010043,0.9999
$80K - $120K,Blue,Graduate,48,3,Existing Customer,13551,711844758,M,35,6,1,0,Single,1294,12257,0.791,1388,37,1.056,0.095,2.11E-05,0.99998
$80K - $120K,Blue,Graduate,49,1,Existing Customer,18886,714798783,M,36,6,2,2,Single,895,17991,1.826,1235,18,1.571,0.047,0.00010684,0.99989
$80K - $120K,Blue,High School,52,3,Existing Customer,11976,826762908,M,48,3,2,0,Unknown,1273,10703,1.024,2089,36,1.118,0.106,4.24E-05,0.99996
$80K - $120K,Blue,High School,50,3,Existing Customer,9964,771894558,M,39,4,1,4,Single,1559,8405,1.873,1626,25,0.786,0.156,0.00015942,0.99984
$60K - $80K,Blue,Doctorate,49,1,Existing Customer,24159,721074183,M,36,4,6,3,Married,1196,22963,0.712,1111,24,1,0.05,0.00032436,0.99968
Less than $40K,Blue,High School,53,2,Existing Customer,5362,715259583,F,44,3,2,3,Married,1901,3461,0.816,1553,38,1,0.355,0.0001861,0.99981
$120K +,Blue,Graduate,50,2,Existing Customer,34516,718414008,M,36,3,2,2,Single,1023,33493,1.004,1064,13,0.625,0.03,0.00011382,0.99989
Less than $40K,Blue,Doctorate,55,1,Existing Customer,3174,719666283,F,36,4,1,0,Married,1951,1223,0.766,1243,29,0.611,0.615,2.76E-05,0.99997
$80K - $120K,Blue,High School,53,1,Existing Customer,12262,714877233,M,47,3,2,2,Married,1836,10426,1.584,1659,38,1.533,0.15,0.00010386,0.9999
$40K - $60K,Blue,High School,47,3,Existing Customer,3788,785387883,F,41,4,3,3,Single,1540,2248,0.566,1594,47,0.382,0.407,0.00030516,0.99969
$120K +,Silver,College,55,2,Existing Customer,34516,771075258,M,42,2,3,2,Single,1527,32989,0.526,1268,42,0.355,0.044,0.00015801,0.99984
$60K - $80K,Blue,Graduate,47,3,Existing Customer,2926,711318033,M,36,4,2,2,Single,0,2926,0.676,1304,24,0.846,0,0.00011811,0.99988
$120K +,Blue,Graduate,58,4,Existing Customer,32090,783554958,M,52,6,1,0,Single,0,32090,0.567,1368,30,0.364,0,2.13E-05,0.99998
$80K - $120K,Blue,Graduate,53,2,Attrited Customer,11669,720201033,M,41,3,3,2,Married,2227,9442,0.622,720,23,0.353,0.191,0.99447,0.00553
$40K - $60K,Blue,High School,52,2,Existing Customer,13532,718039683,M,45,3,1,2,Single,1300,12232,0.846,1521,29,1.417,0.096,5.35E-05,0.99995
Less than $40K,Silver,Uneducated,50,1,Existing Customer,11888,710806083,F,36,4,2,2,Unknown,2090,9798,0.7,1137,30,0.765,0.176,9.93E-05,0.9999
Less than $40K,Blue,Graduate,42,1,Existing Customer,2393,714752208,F,36,5,1,2,Married,1985,408,0.788,978,16,0.778,0.83,5.17E-05,0.99995
$40K - $60K,Blue,Unknown,43,4,Existing Customer,6111,822063408,M,39,5,1,2,Married,2517,3594,0.632,1221,16,2.2,0.412,6.35E-05,0.99994
$80K - $120K,Blue,Graduate,57,4,Existing Customer,19270,714490308,M,46,3,2,3,Married,1662,17608,1.186,1565,28,1.545,0.086,0.00020077,0.9998
$80K - $120K,Blue,Graduate,52,1,Existing Customer,3710,713356833,M,43,3,1,4,Married,2517,1193,1.541,1578,34,0.7,0.678,0.00014834,0.99985
Less than $40K,Blue,Doctorate,47,2,Existing Customer,3235,711402333,M,37,2,1,3,Single,797,2438,0.541,1493,32,1,0.246,0.00013405,0.99987
$40K - $60K,Blue,Graduate,44,3,Existing Customer,11749,708296883,F,38,3,1,0,Single,788,10961,0.688,1178,27,0.929,0.067,2.11E-05,0.99998
$60K - $80K,Blue,High School,53,2,Existing Customer,7753,719154483,M,36,5,3,2,Divorced,2100,5653,0.839,991,26,0.733,0.271,0.00017486,0.99983
$60K - $80K,Blue,College,45,4,Existing Customer,10408,717721458,M,40,5,1,0,Divorced,1186,9222,1.689,2560,42,1.211,0.114,2.07E-05,0.99998
Unknown,Blue,College,63,1,Existing Customer,3967,711112683,F,36,6,2,3,Married,1568,2399,1.236,1657,29,1.231,0.395,0.0001747,0.99983
Less than $40K,Blue,Post-Graduate,39,2,Existing Customer,6205,715674483,F,27,4,2,2,Single,2517,3688,0.939,1204,19,0.727,0.406,0.00013393,0.99987
Less than $40K,Blue,High School,48,5,Attrited Customer,8025,789322833,F,38,1,3,3,Married,0,8025,0.654,673,18,0.8,0,0.99672,0.00328187
$120K +,Blue,Unknown,51,1,Existing Customer,9036,789968058,M,42,6,2,3,Single,2327,6709,0.649,1131,18,0.636,0.258,0.00019751,0.9998
$80K - $120K,Blue,Graduate,54,4,Existing Customer,14926,709919283,M,34,2,3,2,Married,2517,12409,1.996,1576,25,1.5,0.169,0.00018864,0.99981
Less than $40K,Blue,Graduate,59,1,Existing Customer,6335,718744008,F,36,3,2,3,Single,1128,5207,0.397,1217,20,0.667,0.178,0.00017969,0.99982
$60K - $80K,Blue,College,59,1,Attrited Customer,14979,767712558,M,53,2,3,3,Single,0,14979,0.71,530,10,1,0,0.99639,0.00360825
Less than $40K,Blue,Uneducated,48,4,Attrited Customer,2732,712950783,F,38,3,2,3,Married,0,2732,0.76,739,16,0.455,0,0.99518,0.00481999
Less than $40K,Blue,Graduate,41,2,Existing Customer,2250,716104983,F,32,6,3,2,Single,2117,133,1.162,1617,31,2.875,0.941,0.00017987,0.99982
$120K +,Blue,Graduate,55,2,Existing Customer,10916,818839983,M,50,3,2,0,Married,1536,9380,1.317,1592,34,1,0.141,4.20E-05,0.99996
Unknown,Blue,Graduate,47,4,Existing Customer,5349,772288758,F,36,4,1,3,Married,1228,4121,0.728,1343,30,1.308,0.23,9.72E-05,0.9999
$80K - $120K,Blue,High School,41,2,Existing Customer,9366,712350858,M,24,4,1,3,Married,1104,8262,0.572,1303,39,0.625,0.118,9.01E-05,0.99991
$80K - $120K,Blue,High School,40,3,Existing Customer,21617,711009708,M,28,5,1,0,Single,0,21617,1.047,1351,22,0.467,0,2.05E-05,0.99998
Unknown,Blue,Graduate,68,1,Existing Customer,13860,712720158,M,56,5,2,3,Married,1652,12208,1.255,1910,32,1.909,0.119,0.00017969,0.99982
$40K - $60K,Silver,Graduate,50,1,Existing Customer,18386,712215258,F,31,2,2,3,Single,0,18386,0.868,1298,22,0.571,0,0.00016236,0.99984
$60K - $80K,Blue,Uneducated,47,4,Existing Customer,2405,773827008,M,41,6,2,2,Single,1540,865,0.469,1087,29,1.231,0.64,0.00012274,0.99988
Less than $40K,Blue,College,53,1,Existing Customer,2154,795232683,F,47,4,2,3,Married,930,1224,2.121,1439,26,1.364,0.432,0.0001747,0.99983
$40K - $60K,Blue,Unknown,42,5,Existing Customer,2038,713786508,F,36,3,3,3,Married,0,2038,0.786,1238,28,0.75,0,0.00034328,0.99966
$40K - $60K,Blue,High School,48,4,Existing Customer,8135,713539833,F,38,6,1,3,Single,0,8135,1.373,1716,29,0.812,0,9.44E-05,0.99991
$120K +,Blue,Doctorate,49,1,Existing Customer,9364,712454058,M,38,6,1,3,Married,618,8746,0.554,1099,27,0.8,0.066,0.00012583,0.99987
Unknown,Silver,Uneducated,44,2,Existing Customer,32643,718759833,F,35,4,3,2,Married,0,32643,1.3,1058,24,2.429,0,0.00016711,0.99983
Less than $40K,Blue,Graduate,43,4,Existing Customer,3195,718803333,F,34,2,3,1,Divorced,1954,1241,0.971,1285,29,0.706,0.612,0.00011377,0.99989
$80K - $120K,Blue,High School,56,0,Existing Customer,2852,720253908,M,43,5,2,1,Married,1024,1828,1.009,1651,28,1,0.359,5.73E-05,0.99994
Unknown,Blue,College,59,1,Existing Customer,4224,714133158,F,36,2,3,3,Single,1305,2919,0.852,1152,31,0.824,0.309,0.00027607,0.99972
$60K - $80K,Blue,Uneducated,46,1,Existing Customer,20459,713187033,M,36,3,2,2,Married,2071,18388,1.248,1767,38,2.167,0.101,0.00010985,0.99989
Less than $40K,Blue,Unknown,47,4,Existing Customer,3482,714791208,F,41,6,5,3,Divorced,2114,1368,0.508,1039,24,0.263,0.607,0.00038948,0.99961
$40K - $60K,Blue,Uneducated,50,4,Existing Customer,3065,772426383,F,40,5,2,3,Married,1570,1495,1.077,1130,28,1.333,0.512,0.00020643,0.99979
